folder,jogador,posicao
Alemanha,Brasão da Alemanha,1
Alemanha,Manuel Neuer,2
Alemanha,Antonio Rüdiger,3
Alemanha,Benjamin Henrichs,4
Alemanha,Niklas Süle,5
Alemanha,Lukas Klostermann,6
Alemanha,Joshua Kimmich,7
Alemanha,Julian Brandt,8
Alemanha,Serge Gnabry,9
Alemanha,İlkay Gündoğan,10
Alemanha,Marco Reus,11
Alemanha,Leroy Sané,12
Argentina,Brasão da Argentina,1
Argentina,Franco Armani,2
Argentina,Cristian Romero,3
Argentina,Juan Foyth,4
Argentina,Nicolás Otamendi,5
Argentina,Germán Pezzella,6
Argentina,Ángel Di María,7
Argentina,Rodrigo de Paul,8
Argentina,Joaquín Correa,9
Argentina,Paulo Dybala,10
Argentina,Lautaro Martínez,11
Argentina,Lionel Messi,12
Brasil,Brasão do Brasil,1
Brasil,Allisson Becker,2
Brasil,Danilo,3
Brasil,Alex Telles,4
Brasil,Marquinhos,5
Brasil,Éder Militão,6
Brasil,Lucas Paquetá,7
Brasil,Casemiro,8
Brasil,Philippe Coutinho,9
Brasil,Gabriel Jesus,10
Brasil,Neymar,11
Brasil,Vinicius Jr,12
Equador,Brasão do Equador,1
Equador,Moisés Ramírez,2
Equador,Félix Torres,3
Equador,Piero Hincapié,4
Equador,Robert Arboleda,5
Equador,Pervis Estupiñán,6
Equador,Carlos Gruezo,7
Equador,Gonzalo Plata,8
Equador,Alan Franco,9
Equador,Ángel Mena,10
Equador,Michael Estrada,11
Equador,Enner Valencia,12
Espanha,Brasão da Espanha,1
Espanha,Robert Sánchez,2
Espanha,Jordi Alba,3
Espanha,Dani Carvajal,4
Espanha, Pau Torres,5
Espanha,Iñigo Martínez,6
Espanha,Sergio Busquets,7
Espanha,Pablo Sarabia,8
Espanha,Marcos Llorente,9
Espanha,Ansu Fati,10
Espanha,Marco Asensio,11
Espanha,Ferran Torres,12
Holanda,Brasão da Holanda,1
Holanda,Jasper Cillessen,2
Holanda,Virgil van Dijk,3
Holanda,Denzel Dumfries,4
Holanda,Tyrell Malacia,5
Holanda,Nathan Ake,6
Holanda,Teun Koopmeiners,7
Holanda,Frenkie de Jong,8
Holanda,Guus Til,9
Holanda,Cody Gakpo,10
Holanda,Steven Bergwijn,11
Holanda,Memphis,12
Inglaterra,Brasão da Inglaterra,1
Inglaterra,Jordan Pickford,2
Inglaterra,Fikayo Tomori,3
Inglaterra,Marc Guehi,4
Inglaterra,Trent Alexander-Arnold,5
Inglaterra,James Justin,6
Inglaterra,Bukayo Saka,7
Inglaterra,Jack Grealish,8
Inglaterra,Phil Foden,9
Inglaterra,Tammy Abraham,10
Inglaterra,Jarrod Bowen,11
Inglaterra,Raheem Sterling,12
Japão,Brasão do Japão,1
Japão,Kosei Tani,2
Japão,Miki Yamane,3
Japão,Shinnosuke Hatanaka,4
Japão,Hayato Araki,5
Japão,Sho Sasaki,6
Japão,Tsukasa Morishima,7
Japão,Kento Hashimoto,8
Japão,Yasuto Wakizaka,9
Japão,Yuki Soma,10
Japão,Mao Hosoya,11
Japão,Yuto Iwasaki,12
México,Brasão do México,1
México,Carlos Acevedo,2
México,Kevin Álvarez,3
México,Julio César Domínguez,4
México,Jesús Angulo,5
México,César Montes,6
México,Luis Romo,7
México,Francisco Córdova,8
México,Andrés Guardado,9
México,Raúl Jimenez,10
México,Uriel Antuna,11
México,Alexis Vega,12
